image_name,n_participants_target,target_crr,target_hr,target_far,target_hit,target_miss,target_fa,target_cr,n_participants_filler,filler_hit,filler_miss,filler_fa,filler_cr
0071.jpg,50,0.62,0.86,0.24,43,7,12,38,82,3,2,24,58
0072.jpg,38,0.5526315789473684,0.7105263157894737,0.15789473684210525,27,11,6,32,100,7,0,10,90
0073.jpg,53,0.6981132075471698,0.7169811320754716,0.018867924528301886,38,15,1,52,95,10,9,8,87
0074.jpg,55,0.5636363636363637,0.7818181818181819,0.21818181818181817,43,12,12,43,95,6,1,23,72
0075.jpg,39,0.5128205128205128,0.7435897435897436,0.23076923076923078,29,10,9,30,85,10,3,14,71
0076.jpg,45,0.5333333333333333,0.7555555555555555,0.2222222222222222,34,11,10,35,83,13,4,21,62
0077.jpg,45,0.6000000000000001,0.8666666666666667,0.26666666666666666,39,6,12,33,102,5,4,15,87
0078.jpg,51,0.5686274509803921,0.8235294117647058,0.2549019607843137,42,9,13,38,105,8,6,24,81
0079.jpg,45,0.6888888888888889,0.7777777777777778,0.08888888888888889,35,10,4,41,87,4,0,10,77
0080.jpg,52,0.6153846153846154,0.8653846153846154,0.25,45,7,13,39,89,8,5,35,54
0081.jpg,40,0.425,0.6,0.175,24,16,7,33,101,6,3,14,87
0082.jpg,34,0.5588235294117647,0.7058823529411765,0.14705882352941177,24,10,5,29,90,7,5,23,67
0083.jpg,40,0.7250000000000001,0.925,0.2,37,3,8,32,108,7,2,26,82
0084.jpg,35,0.4285714285714286,0.7142857142857143,0.2857142857142857,25,10,10,25,86,6,3,14,72
0085.jpg,44,0.6363636363636364,0.7727272727272727,0.13636363636363635,34,10,6,38,78,5,1,10,68
0086.jpg,44,0.6363636363636364,0.8409090909090909,0.20454545454545456,37,7,9,35,96,7,2,21,75
0087.jpg,48,0.6041666666666666,0.75,0.14583333333333334,36,12,7,41,88,6,1,17,71
0088.jpg,44,0.7272727272727273,0.8863636363636364,0.1590909090909091,39,5,7,37,111,10,3,24,87
0089.jpg,38,0.4210526315789474,0.7894736842105263,0.3684210526315789,30,8,14,24,91,12,3,28,63
0090.jpg,39,0.358974358974359,0.5641025641025641,0.20512820512820512,22,17,8,31,105,10,2,32,73
0091.jpg,32,0.71875,0.90625,0.1875,29,3,6,26,99,6,4,21,78
0092.jpg,48,0.5208333333333333,0.7291666666666666,0.20833333333333334,35,13,10,38,103,11,3,20,83
0093.jpg,41,0.6585365853658537,0.8048780487804879,0.14634146341463414,33,8,6,35,112,12,1,37,75
0094.jpg,40,0.775,0.85,0.075,34,6,3,37,101,8,1,9,92
0095.jpg,40,0.725,0.85,0.125,34,6,5,35,98,14,3,11,87
0096.jpg,45,0.5555555555555556,0.6444444444444445,0.08888888888888889,29,16,4,41,88,7,3,8,80
0097.jpg,37,0.6486486486486487,0.8648648648648649,0.21621621621621623,32,5,8,29,79,10,1,20,59
0098.jpg,45,0.5777777777777778,0.7111111111111111,0.13333333333333333,32,13,6,39,93,4,2,14,79
0099.jpg,50,0.64,0.8,0.16,40,10,8,42,104,14,1,16,88
0100.jpg,39,0.48717948717948717,0.8717948717948718,0.38461538461538464,34,5,15,24,111,10,0,55,56
0101.jpg,42,0.4523809523809524,0.7857142857142857,0.3333333333333333,33,9,14,28,98,7,3,37,61
0102.jpg,32,0.5,0.84375,0.34375,27,5,11,21,92,12,5,26,66
0103.jpg,41,0.4878048780487805,0.6097560975609756,0.12195121951219512,25,16,5,36,91,8,5,24,67
